"Freq [GHz]","dB(S(port1,port1)) []"
67,-10.4190519141955
67.5,-10.9354172994606
68,-11.5231146858574
68.5,-12.1545160256353
69,-12.8151182601077
69.5,-13.5002492795767
70,-14.2117534472203
70.5,-14.9553561822674
71,-15.7388104696548
71.5,-16.5707617208338
72,-17.4602571698787
72.5,-18.4168425184532
73,-19.4512018545227
73.5,-20.576325329647
74,-21.8092687546013
74.5,-23.1737475220778
75,-24.704169556666
75.5,-26.4524661762579
76,-28.5007686519429
76.5,-30.9869241144143
77,-34.1571095180731
77.5,-38.4231401239452
78,-43.1725971498103
78.5,-41.4802668779799
79,-37.2483847046312
79.5,-34.2282716306141
80,-32.0868130514652
80.5,-30.4953150799682
81,-29.2713025540683
81.5,-28.3093460733297
82,-27.5441611715225
82.5,-26.9328627556474
83,-26.4459592891612
83.5,-26.0624667422109
84,-25.7670880518183
84.5,-25.5484915384408
85,-25.3982062283214
85.5,-25.3098813438901
86,-25.2787719756333
86.5,-25.3013730800224
87,-25.375156548059
87.5,-25.4983841167157
88,-25.6699789061323
88.5,-25.889443866619
89,-26.1568183893921
89.5,-26.4726659207665
90,-26.8380862523395
90.5,-27.2547464752208
91,-27.7249242230918
91.5,-28.2515550957221
92,-28.8382714737029
92.5,-29.4894090272904
93,-30.2099333321971
93.5,-31.0051881417833
94,-31.8802601836734
94.5,-32.8385354508068
95,-33.8785871757266
95.5,-34.9877704169287
96,-36.1299983964333
96.5,-37.2261153182117
97,-38.1352246625125
97.5,-38.6722995431928
98,-38.7035561870934
98.5,-38.2550155459144
99,-37.4887169468417
99.5,-36.5820127769814
100,-35.6559317766155
100.5,-34.7738947557936
101,-33.9628552451343
101.5,-33.2308375649396
102,-32.5771111915941
102.5,-31.9973472212979
103,-31.4860572440489
103.5,-31.0376796932066
104,-30.6470189012533
104.5,-30.3093845177106
105,-30.0206003854264
105.5,-29.7769648245109
106,-29.5752015562673
106.5,-29.4124190930665
107,-29.2860852874927
107.5,-29.1940176572754
108,-29.1343866088357
108.5,-29.1057265764815
109,-29.1069487737557
109.5,-29.1373484089034
110,-29.196598724633
110.5,-29.2847241276944
111,-29.4020451939044
111.5,-29.5490898381732
112,-29.726467854722
112.5,-29.9347106568611
113,-30.1740842743759
113.5,-30.4443907356692
114,-30.7447793646977
114.5,-31.0735932776751
115,-31.428275674399
115.5,-31.8053546073059
116,-32.2005145902927
